,Open,High,Low,Close,Headlines,Average Mean,Differential,Sentiment,Polarity
2016-08-07,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-08,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-09,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-10,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-11,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-12,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-13,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-14,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-15,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-16,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-17,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-18,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-19,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-20,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-21,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-22,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-23,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-24,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-25,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-26,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-27,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-28,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-29,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-30,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-08-31,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-01,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-02,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-03,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-04,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-05,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-06,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-07,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-08,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-09,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-10,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-11,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-12,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-13,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-14,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-15,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-16,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
2016-09-17,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",715.6199950000008,6.830016999999998,0,0.0
